Agro_3_clean,Agro_3_noise,Agro_3_filtrada
65.39555447652455,64.17778749794968,64.47825022887778
66.14323734489794,67.35485981216812,65.01817240613738
66.34275486038045,73.22084685823683,65.53927048775302
66.82601450776536,67.49450476114306,66.03763439511974
65.70335306063646,69.86929861971177,66.50973340655325
67.23986557497902,71.14739300240835,66.95251837381524
65.09682632078864,66.94294528978908,67.36349304530835
66.71371416759654,72.14765868488703,67.7407530375879
66.97745897795446,59.85062761229011,68.08299609930486
67.92706470335045,61.9040508321504,68.38951122500865
67.66391425856591,73.330898083921,68.66015601188525
66.82835028976324,64.70490044654561,68.89533051325385
67.28673960087127,67.65333341631894,69.09595219803536
68.27910333750638,74.02070889765449,69.26343246048374
68.24825851828855,68.90307808767531,69.39965213205629
68.06156651844351,73.60320240458918,69.50693203031912
68.29347053996487,67.02010891974764,69.58799469276761
69.28020932164351,71.3002403565136,69.64591493371503
68.59306488729322,68.78373870559348,69.68405898032975
69.05604794388317,73.94507838159146,69.70601370313005
70.79861747217842,69.94056314876559,69.7155085649889
68.44470576886194,65.2819510775264,69.71633388885576
68.30627098686243,66.77255835662865,69.71226028922281
70.31199033499952,68.92379208731114,69.706965006963
69.44896737616575,67.32642282892301,69.7039702453321
69.86139840791131,67.6025013086998,69.70659610380685
69.69709354911845,73.37613974479957,69.71792727418853
70.22135644028552,74.83877040180631,69.74078950612316
71.68106598367343,72.96652301934118,69.7777299413272
71.28199533094943,69.15886204330488,69.8309956843936
71.48200545394417,69.56648246952382,69.9025077290355
70.0445453132379,63.2457408463519,69.99383139599377
70.38704780318658,71.63235381914845,70.10614757796415
69.36193172273352,67.12269009778163,70.24022974196706
70.93861611567318,75.76358072769895,70.39642984078887
72.33021976235523,67.8102352570615,70.57467347347306
72.17716831985902,70.23435081111323,70.77446253356774
71.81444259403149,71.5010162045681,70.99488290983919
72.10749025615664,73.63336585259492,71.23461497021265
71.79386623391555,77.7072282944211,71.49194477996325
72.57177475890815,68.07698921727935,71.76477448835527
73.1162722820587,72.12596588120168,72.05063188954415
71.60009201166652,66.91593483934926,72.3466817412991
73.09134763148937,75.68225753078964,72.64974353946333
73.68399130446612,71.56228592875459,72.95632067307344
72.8897055108434,72.55088648289536,73.26264436403169
73.81903621977979,73.25404045064799,73.56473386815462
75.44634039873944,75.82774222550574,73.8584730658935
73.54983047867555,73.03728972368162,74.1397028263395
74.04421047139036,70.85725492134026,74.40432813941298
73.39750301990473,73.67596082576375,74.64843880874392
74.18547403467241,71.58001615522872,74.86844198953519
74.52443694116405,77.19606883456507,75.06120337214944
74.48146398601926,74.66977092100812,75.224191338049
73.7732798325873,70.36309635717976,75.35561576313485
74.7726624559521,82.66681453314354,75.45455110662971
75.79202535558188,81.23278373550659,75.52103215600249
75.22193449708993,83.23611854740716,75.5561104992965
75.71979008476467,74.59515047281147,75.56186155738021
75.01809472621979,72.27882324089141,75.54133677358038
75.84561801390802,78.4908012002808,75.49846219782637
75.65192708037566,79.28607509083113,75.43789044760163
74.92560724773874,75.57083990684751,75.36481626087851
75.94805455046328,69.04813608580528,75.28476748926374
75.16377379717699,71.9459138915452,75.20338487746415
75.54683010919626,76.93257511149915,75.12620498368892
76.25326098072765,74.08800225554705,75.05845970093416
76.45867394349801,71.98166725791312,75.00490303903085
75.54698593552129,74.70191826843859,74.96967271509732
77.24504543492357,66.5966112514942,74.95619171197885
77.03441475564607,75.05567271904158,74.96711272500173
76.26639096529247,74.86910538376868,75.00430525424447
75.80800498420976,76.82605531648865,75.06888083465111
76.9064050962772,78.70251143724093,75.16124761233466
76.81809978559279,78.05692519298422,75.28118278610869
77.33076665828801,80.27359367577297,75.4279113113353
77.11756835515722,76.56662463074395,75.60018159979155
76.085573591525,71.31148674299392,75.79633296051473
77.33684369362976,77.48179434948459,76.0143540198377
77.51148430838512,74.6399879227458,76.25193484203797
78.2845378337675,73.83417385885336,76.50651688207854
77.46660750188003,79.36568529869791,76.77534439103907
79.24359498197397,74.60957421949085,77.05551944997204
76.84234171171049,79.07331588912703,77.34406128673713
79.20905547437994,74.9709896406131,77.63796936108851
78.24373273144911,77.29079109414118,77.93428895907489
79.1107419005972,77.26084110213489,78.23017742348718
78.67191786304474,82.40074446059309,78.52296826968961
79.51950717596783,81.46883245277138,78.81022935381155
78.55515295776543,75.8517665314068,79.08981068252548
78.16047616401373,77.64359027639068,79.35987807072729
80.02577335724233,84.3860254500793,79.61893031196341
79.05258936327502,83.94944547245588,79.86579868117963
79.38640770036497,74.89694029353247,80.09962814546208
80.19360961734144,84.51051612332158,80.31984059487031
78.70354686559955,82.76938599702815,80.52608225957877
79.93804749702666,80.52386909274696,80.71815955300765
79.20221241053684,78.90453445910576,80.89596933342578
79.61519219745044,77.80985476238963,81.05943119423867
79.84950589708258,75.73854961106868,81.20843057485791
78.83857393274609,79.95025094304593,81.34278112810613
79.43197166898821,78.87421393382051,81.46221217908527
81.0099378840016,82.43640477648417,81.56638272808424
80.77014213725505,82.27496502880568,81.65491858725242
80.19016566199174,88.44846498113091,81.72746528962685
80.4869800340341,84.41190355453818,81.78374738308929
80.19217100592319,81.98596669658912,81.82362519403856
